Exchange Date,Close
19-Apr-2013,3.11
26-Apr-2013,3.05
03-May-2013,3.73
10-May-2013,3.33
17-May-2013,3.49
24-May-2013,3.51
31-May-2013,3.91
07-Jun-2013,4.07
14-Jun-2013,4.74
21-Jun-2013,4.35
28-Jun-2013,4.18
05-Jul-2013,4.26
12-Jul-2013,4.02
19-Jul-2013,4.16
26-Jul-2013,4.30
02-Aug-2013,4.37
09-Aug-2013,4.43
16-Aug-2013,4.34
23-Aug-2013,4.42
30-Aug-2013,4.55
06-Sep-2013,5.32
13-Sep-2013,5.39
20-Sep-2013,5.35
27-Sep-2013,5.39
04-Oct-2013,5.09
11-Oct-2013,4.60
18-Oct-2013,5.11
25-Oct-2013,4.99
01-Nov-2013,4.61
08-Nov-2013,4.48
15-Nov-2013,4.49
22-Nov-2013,4.43
29-Nov-2013,4.36
06-Dec-2013,4.79
13-Dec-2013,4.80
20-Dec-2013,4.75
27-Dec-2013,4.92
03-Jan-2014,4.69
10-Jan-2014,4.52
17-Jan-2014,5.05
24-Jan-2014,5.24
31-Jan-2014,5.50
07-Feb-2014,6.41
14-Feb-2014,6.57
21-Feb-2014,7.12
28-Feb-2014,7.06
07-Mar-2014,6.90
14-Mar-2014,6.29
21-Mar-2014,6.18
28-Mar-2014,4.34
04-Apr-2014,4.68
11-Apr-2014,5.31
18-Apr-2014,5.54
25-Apr-2014,5.06
02-May-2014,5.18
09-May-2014,5.24
16-May-2014,4.79
23-May-2014,5.12
30-May-2014,5.05
06-Jun-2014,5.44
13-Jun-2014,5.66
20-Jun-2014,5.65
27-Jun-2014,5.76
04-Jul-2014,5.65
11-Jul-2014,5.72
18-Jul-2014,5.98
25-Jul-2014,6.11
01-Aug-2014,6.26
08-Aug-2014,5.96
15-Aug-2014,6.36
22-Aug-2014,6.35
29-Aug-2014,6.38
05-Sep-2014,6.26
12-Sep-2014,6.04
19-Sep-2014,6.01
26-Sep-2014,5.91
03-Oct-2014,5.66
10-Oct-2014,6.02
17-Oct-2014,6.12
24-Oct-2014,6.39
31-Oct-2014,6.34
07-Nov-2014,6.75
14-Nov-2014,6.61
21-Nov-2014,6.99
28-Nov-2014,7.04
05-Dec-2014,6.66
12-Dec-2014,6.66
19-Dec-2014,7.08
26-Dec-2014,7.37
02-Jan-2015,7.01
09-Jan-2015,6.71
16-Jan-2015,7.13
23-Jan-2015,6.80
30-Jan-2015,7.08
06-Feb-2015,6.95
13-Feb-2015,7.63
20-Feb-2015,7.32
27-Feb-2015,7.10
06-Mar-2015,6.80
13-Mar-2015,6.46
20-Mar-2015,7.04
27-Mar-2015,6.76
03-Apr-2015,7.15
10-Apr-2015,6.94
17-Apr-2015,6.84
24-Apr-2015,7.28
01-May-2015,7.48
